order_id,product,category,region,quantity,unit_price,order_date,customer_type
1001,Laptop Pro,Electronics,North,2,1200,1/5/2024,Enterprise
1002,Wireless Mouse,Electronics,South,10,25.5,1/7/2024,SMB
1003,Office Chair,Furniture,East,3,350,1/10/2024,Enterprise
1004,Standing Desk,Furniture,West,1,650,1/12/2024,SMB
1005,Monitor 27in,Electronics,North,5,400,1/15/2024,Enterprise
1006,Keyboard Mech,Electronics,South,8,150,1/18/2024,Retail
1007,Bookshelf,Furniture,East,4,180,2/2/2024,Retail
1008,Webcam HD,Electronics,West,6,90,2/5/2024,SMB
1009,Headphones,Electronics,North,12,200,2/8/2024,Enterprise
1010,Filing Cabinet,Furniture,South,2,280,2/14/2024,Retail
1011,Tablet Pro,Electronics,East,3,750,2/20/2024,Enterprise
1012,Desk Lamp,Furniture,West,15,45,2/22/2024,Retail
1013,USB Hub,Electronics,North,20,35,3/1/2024,SMB
1014,Conference Phone,Electronics,South,2,500,3/5/2024,Enterprise
1015,Ergonomic Chair,Furniture,East,5,420,3/10/2024,SMB
1016,wear,sport,Mid-east,5,220,2/20/2024,Enterprise
1017,shoe,sport,Mid-east,7,140,2/22/2024,Enterprise
1018,wear,sport,Mid-east,9,230,3/1/2024,Enterprise
1019,shoe,sport,Mid-east,12,450,3/5/2024,Retail
1020,wear,sport,Mid-east,16,120,3/10/2024,Retail
